week,condition,replicate,species,ddpcr_copy_number,ddpcr_sd_or_ci,batch_id
5,R500,r1,MYC,101.4,3.137755102040819,2026-05-04-ddPCR-T87
5,R500,r1,PDGFRA,85.19999999999999,2.3724489795918395,2026-05-04-ddPCR-T87
5,ctrl,r1,CDK4,95.1,2.6785714285714324,2026-05-04-ddPCR-T87
5,ctrl,r1,MYC,117.6,3.1377551020408156,2026-05-04-ddPCR-T87
5,ctrl,r1,PDGFRA,117.9,3.443877551020408,2026-05-04-ddPCR-T87
6,P10,r1,CDK4,95.4,2.755102040816326,2026-05-04-ddPCR-T87
6,P10,r1,MYC,126.3,3.9030612244898024,2026-05-04-ddPCR-T87
6,P10,r1,PDGFRA,123.6,3.6734693877551035,2026-05-04-ddPCR-T87
6,P250,r1,CDK4,52.8,1.8367346938775517,2026-05-04-ddPCR-T87
6,P250,r1,MYC,91.2,3.520408163265302,2026-05-04-ddPCR-T87
6,P250,r1,PDGFRA,86.69999999999999,3.596938775510203,2026-05-04-ddPCR-T87
6,P50,r1,CDK4,90.6,2.678571428571429,2026-05-04-ddPCR-T87
6,P50,r1,MYC,116.4,3.443877551020408,2026-05-04-ddPCR-T87
6,P50,r1,PDGFRA,110.4,3.826530612244898,2026-05-04-ddPCR-T87
6,R100,r1,CDK4,75.9,1.98979591836735,2026-05-04-ddPCR-T87
6,R100,r1,MYC,97.2,2.831632653061227,2026-05-04-ddPCR-T87
6,R100,r1,PDGFRA,88.80000000000001,2.372448979591836,2026-05-04-ddPCR-T87
6,R20,r1,CDK4,86.4,2.9846938775510177,2026-05-04-ddPCR-T87
6,R20,r1,MYC,119.7,3.9795918367346923,2026-05-04-ddPCR-T87
6,R20,r1,PDGFRA,120.3,4.744897959183679,2026-05-04-ddPCR-T87
6,R500,r1,CDK4,70.19999999999999,2.4489795918367334,2026-05-04-ddPCR-T87
6,R500,r1,MYC,77.1,2.678571428571429,2026-05-04-ddPCR-T87
6,R500,r1,PDGFRA,67.5,2.295918367346939,2026-05-04-ddPCR-T87
6,ctrl,r1,CDK4,86.1,2.295918367346939,2026-05-04-ddPCR-T87
6,ctrl,r1,MYC,129.89999999999998,3.7499999999999933,2026-05-04-ddPCR-T87
6,ctrl,r1,PDGFRA,120.0,3.443877551020408,2026-05-04-ddPCR-T87
